closeness_centrality,[ 0  8  9 10]
10,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
11,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
12,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
13,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
14,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
15,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
16,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
17,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
18,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
19,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
20,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
21,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
22,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
23,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
